,text
952,RT @Masimalek84: چشمای من وقتی دپرس میشم و خط چشم و ریمل نمیزنم https://t.co/qoR6FS7c6f
953,@1TVNewsAF متاسفانه غنی در حق مردم افغانستان خیانت می کند. کسی دوست نداردکه دیگر یک نفر از قاتلین جوانان مان آزاد شود.
954,"RT @pdrmsh: برین کنار صاحبش اومد

#سلام_بر_ابراهیم"
955,چشماش سرویس دخترای دبیرستانی اکباتان بود و دل من تک پسر رهگذر اونجا.
956,از پیج اینستاگرام sol_yanim_Azerbaycan برداشتم ویدیو رو
957,@delrahm نیستی
958,RT @mojahed_new: فقط با انتخاب رئیسی می فهمیم که این هشت سال چی رو می تونستیم داشته باشیم که خودمون ، خودمون رو محروم کردیم، تاوانشم بدجور…
959,"RT @sabeti_twt: روحانی، ناطق نوری، ولایتی و لاریجانی شبیه ترین شخصیت های سیاسی به همدیگر هستند، مثل چهار برادر!

سال 76 ناطق خواست رییس جمه…"
960,@sama_1371_ فاحشه، فاسد، مادر جنده،جا کش پدر،کیر همه عالم تو کس خودتو ننت، همه کیرای کلفت گاییدن تورو،جلو و عقبت یک… https://t.co/yI3l8WU9zo
961,@AzitaH6 خب گفت تحریم میکنه دیگه این دوره
962,"RT @Moh4mmd: 20 میلیارد دلار سرمایه مردم با تصمیم غلط #جهانگیری پودر شد!
حالا برای دردهای مردم اشک تمساح میریزد
بیا برو عامو :))"
963,"RT @SajjadSedighi: بسیاری از کاندیدا، خاطرشان محترم و عزیز است، ولی نگاه منجی‌گری به عرصه ریاست جمهوری، نگاهی غلط است.

#انتخابات_۱۴۰۰"
964,"RT @SEPAHSALARn: صل علی محمد
  یاور رهبر آمد .

#سلام_بر_ابراهیم 
#رئیسی_متشکریم https://t.co/jzk6Ld28Ho"
965,"RT @qazal60: فقط کافیه با مجموعه‌ی فوق‌العاده‌ی #آزاده_اخلاقی با نام ""به روایت یک شاهد عینی"" مقایسه کنید و ببینید چقدر مجموعه‌ی  سعیدپور مص…"
966,@Shabnam_tt بشاش تو این مملکت
967,"حالا اگه بازار مثبت بود همه استوری تحلیل میزاشتن!
الآن که نیاز به تحلیل داریم همه قایم شدن!
#کریپتو #بيتكوين #ارز_دیجیتال"
968,"RT @ARDESHIR003: تاجزاده #تغییر میزنه
طرفداران احمقی نژاد شعار اصلاح طلب اصولگرا دیگه تمومه ماجرا میدن!
شاید هم بخوان با اومدن رئیسی نظارت…"
969,"RT @Ostad_Belgheys: وقتی از آقا ابراهیم پرسیدن اگه شکست بخوری به ق.قضائیه برمیگردی؟
گفته تو مسیر انجام وظیفه شکست وجود نداره!!😊
#رئیسی_متشک…"
970,"RT @Mimalamjz: تنها فرق بین رئیسی و تاج‌زاده نوع ابزاریه که استفاده میکنن، اولی با چاقو سر می‌بره دومی با پنبه. 
تنها یه گوسفند به انتخاب ب…"
971,"RT @fmahdipour: گردان‌های قسام اعلام کرد: لحظاتی قبل 15 راکت به سمت دیمونا در سرزمین‌های اشغالی شلیک کرده است.

#القدس_اقرب 
#قاسم_سلیمانی…"
972,"@zahrabhdi همه جور دختری هست 
آن پرستشم هست 
مدلای دیگشم هست"
973,"@Abdol_Abdollahi ما در مسائل اقتصادی عقب هستیم که راهکار آن هم شناساندن باکری‌ها و باقری‌هاست.
#آقامحسن_ایران 
#اقدام_و_تحول 
#محسن_رضایی"
974,"RT @malekshariati: حتی بستن دهان پاسخ دهندگان به اتهام:
 یک خبرنگار اصلاح طلب حامی روحانی، ۱۹ثانیه اول از فیلم یک دقیقه ای مرا حذف و کل معن…"
975,زده به سرم همتونو ببرم شمالو ديگه برنگردم :دى
976,"RT @basharat_pmln: عید  مبارک 
#TeamTallalch https://t.co/WVPrTijKfx"
977,"RT @Jelebeh1: این #شاه نبود که رفت..
این وطن، شرف، عزت، پیشرفت، خنده، دموکراسی، بهداشت، ثروت، امنیت، هویت، آزادی، اخلاق، آینده، صلح، سازندگ…"
978,@bahareehhh بهترش وقتی وان نایت استند هست این کارا چیه
979,"RT @SoldierAmir110: سید خراسانی قدم اول قیام را برداشت...
ظهور نزدیک است ان‌شاءالله ✌🏻
#رئيسی_آمد"
980,@shahrvand_m @Maaryaamaam یه طویله خر از این کارآمد تره الان
981,"@ghazighozatwit ما راهنمایی بودیم بهمون یاد دادن
همین سن بودیم دیگه
البته ما هم نفهمیدم چی گفت ولی گفت بالاخره یارو"
982,RT @famil_goriz: یه عده از دختر پسرا برای مستقل شدن یه عالمه سختی میکشن تو دام اعتیاد نمیوفتن نون بازوی خودشونو میخورن زحمت میکشن و به موفق…
983,"@hwtfq اون‌‌وقت اگه بهشون بگی ""چرا گوشت می‌خوری؟""، خودشون رو با شیر و پلنگ مقایسه می‌کنن که طبیعتمونه =)))))"
984,RT @khashayar5h: زندگی دیگه داره بیش از حد خسته کننده میشه
985,@eghbali57 @hesamodin1 دزدان هم سحرخیز هستند که گاها حتی شب هم بیدارند ...
986,"@GsFaridz آره خیلی😂
حیف من رابط البرز نیستم اون بیمارستان خراب شده رو بترکونم😂"
987,"🌹 استقبال دختر شهید مدافع حرم از آیت الله رئیسی، در ستاد انتخابات کشور ...

پ ن : خدا وکیلی منصف باشیم ، وقتی آیت ا… https://t.co/xVxF5Gbz7P"
988,@triceratopsll نیکی میناژ چیکار میکنه پس همش پایین تنه‌س
989,"⚜چو دین‌دار کین دارد از پادشا
مخوان تا توانی ورا پارسا

بزرگترین مرجع #شهریاری #ایران زمین را میتوان #شاهنامه جاوید… https://t.co/ypY99iOqnz"
990,زمان انتخابات ریاست جمهوری اسلامی هواداران ابراهیم رییسی و برداران سپاهی در تدارک ستاد انتخاباتی هستند https://t.co/ME94pXMuHx
991,"⭕️ ماجرای کنایه لاریجانی و روحانی به غذای ساده رئیسی+ فیلم
✅ واقعا غرور و تکبر لاریجانی و روحانی را در این فیلم می‌… https://t.co/H0HCsmnBCo"
992,@Daei_ALii چند وقت دیگه نگهش داری عتیقه محسوب میشه😂
993,@121khd گفتم زود بگم تغییر بدین
994,"RT @samaneh652: 🌹سید ما خوش اومدی😍😍😍❤️❤️❤️❤️❤️
#رئیسی_متشکریم https://t.co/vGyLzfSYac"
995,"RT @luvly_skz: عای ننهㅠㅠ
🕯بعدا بازم لاک بزنه🕯
@Stray_Kids https://t.co/VgTxWRwq8O"
996,یکی از بی جنبه ترین آدمای دنیا منم :))  فقط یه هفته تهران بودم و‌ امروز از صب حس میکنم از رطوبت رشت دارم خفه میشم :))
997,@ramin_rasaei دیگه منشن نخونم بهتره استاد 😐😐😂😂
998,@Ayubghaderi68 @ali_ahmadnia ایرانی سمت #رمزینکس نرید فقط ...
999,"ایران شبیه روستاهای کشورای پیشرفته هم نیس.
مدیرای چلمنگ حاکمای دزد کشورمون در حد روستا هم نیس ."
1000,"RT @Luhani77S: کاربر "" خرگوشی که لیدر شد"" خیلی کراشی.
@weareoneEXO https://t.co/1ckG8CHGsE"
1001,"مژده دهید باغ را ؛بوی بهار می آید
#رئیسی_متشکریم"
1002,RT @FarsNews_Agency: 🔴بیانیه اعلام حضور رئیسی در انتخابات: با شناختی که از چالش‌ها، ظرفیت‌ها، استعدادها و سرمایه‌های این کشور کسب کرده‌ام،…
1003,"Mr
بسی شایسته است به پاس تلاش‌ها و زحمات مستمر شما در ایجاد ایرانی شاد و اباد متشکر باشیم 
#رئیسی_متشکریم https://t.co/Domc8wLUz7"
1004,RT @raesi_org: اینجانب فرزند ملت بزرگ ایران و سرباز کوچک انقلاب اسلامی، به صورت #مستقل به صحنه آمده‌ام و تنها در برابر ذات اقدس الهی و پیشگ…
1005,"RT @kebretahmar: برادران وخواهران ایرانی 
اما شما
حرف با شما همان است که سردار فرمود:
والله والله والله از مهمترین شئون عاقبت بخیری رابطه ق…"
1006,باور کنید غول چراغ جادو هم ثبت‌نام کرده.
1007,"RT @ali__politics: ""عبدالناصر همتی"" هم به‌صورت مستقل و با رویکرد اقتصادی برای انتخابات ریاست جمهوری ثبت‌نام کرد."
1008,RT @Rebel36708260: مفسدان خوب می‌دانند با ماندن رییسی در قوه قضائیه و روی کار آمدن دولت جوان حزب‌اللهی و ضد فساد توسط کسی مثل #سعید_محمد که…
1009,RT @mohammadaleph: چائوشسکو دیکتاتور کمونیست رومانی طالب این بود که جمعیت کشور را زیاد کند و به همین دلیل زنان و مردان کشور را به فرزندآوری…
1010,"خستم کردی :) نمیکشم دیگه جدی نمیکشم 

— @Stray_Kids ┊— @ATEEZofficial https://t.co/ZRWtcFLqWk"
1011,شرمت خصوصیا رسما حجاب سرش گرده نه؟
1012,"RT @samaneh651: اولین سلام

صبحگاهی تقدیم به ساحت قدسی قطب
عالم امکان،حضرت صاحب الزّمان عج🌺🌺🌺🌺

اَلسّلامُ عَلیکَ یا بقیَّه اللهِ یا اباصالح…"
1013,@_Mohamadnovin @sseviinism @Partokiya الهی چوخ شوکوربشیکتاشلیلاری تاپدیم https://t.co/ZUSxTJOwOH
1014,"RT @IsraelPersian: اصابت راکت به منطقه مسکونی در شهر رمات گن در مرکز اسرائیل‌. خوشبختانه هیچ خسارت جانی نداشت.
حماس غیرنظامیان را هدف فرار…"
1015,پس از سید ممد شیّاد شما رو با شیخ حسن کذّاب آشنا می‌کنیم https://t.co/e6MHv98RKR
1016,@flx__Frckl منِ زخم دیده بهت توصیه می‌کنه اینکارو نکنی یا حداقل خیلی کوتاه نکنی
1017,@shahrokhkhann بنظر من بود ولی هرچی جمال حشری بگه
1018,@alamdar7380 پسرم ناراحت نشو‌ من واقعیت رو بهت گفتم ، تو الان از دید یک فلسطینی شیعه رافضی مجوسی هست که خون تو براش حرومه
1019,RT @FarsNews_Agency: ملاک الطنانی،دختر ۳ساله اهل غزه، بامداد امروز درحالی که در آغوش مادرش خوابیده بود،همراه با تمام اعضای خانواده‌اش در بم…
1020,"#شهوت_قدرت
#لجنزار
اوج حقارت یک نفر برای بدست آوردن قدرت https://t.co/oy2mFoQONK"
1021,RT @ArioBarzan70: @MOperaPhantom @kristalenarenji آره حتی بعضی طرفداراشون میگن کشور دست جاعش بمونه بهتر از اینکه وارد جنگ بشه یا تجزیه بشه…
1022,"RT @Asal_salehi79: چه کسی باید به روند شعارگرایی در ایران خاتمه دهد؟
آیا وقت  دولت اقدام نرسیده است؟ 
فرهنگ ما، اقتصاد ما، حتی امنیت ما و..…"
1023,"RT @sabeti_twt: روحانی، ناطق نوری، ولایتی و لاریجانی شبیه ترین شخصیت های سیاسی به همدیگر هستند، مثل چهار برادر!

سال 76 ناطق خواست رییس جمه…"
1024,"@Bang_Chan_STAY @stayasii @Stray_Kids @Stray_Kids_JP ماهم حمایتش میکنم😍🥺
 بچمو بی گناه برای یه مرت انداختن بیرون از گروه🤧😭 بمیرن هیترااااا"
1025,"RT @Sooobh777: خلاصه که جان شما و جان ایران عزیزمان آقا سید
#رئیسی_متشکریم https://t.co/lhVRae49gu"
1026,RT @CANDY_GIRL_L: @1exmlnn383 @weareoneEXO @B_hundred_Hyun @layzhang ما که بیشتر از جونمیون در جریان همه چی نیستیم وقتی اون بنده خدا خودش ر…
1027,"RT @m_sayadi59: @RoiaSadr153 تا دگر مادر گيتي چو تو فرزند بزايد
#رئیسی_متشکریم"
1028,"RT @yazahra3584: @RoiaSadr153 رئیسی خوش اومدی 
#رئیسی_متشکریم"
1029,@marmoollak_ir @vahidjamali1981 خواستم مطمین بشم
1030,@pegaah07 کد تخفیف میدیم تا آخر هفته https://t.co/U9pBdt90GW
1031,"@alirezaalm7 اکیپ بک دهندگان شعبه دیگری ندارد
🙋🏻‍♂️🙋🏼‍♀️
⁦@amir24ni⁩✔︎
⁦@toranj68⁩✔︎
⁦@novaljin9068⁩✔︎
⁦@Dash_Alli⁩… https://t.co/A9qzTQLC6C"
1032,@ahmadrezapostp @beauty_girlll78 من این احتمال را میدهم که دست آخر این رئیسی است که به نفع سعید محمد کنار خواهد کشید
1033,"RT @MansourehAbdol1: ✅  رئیس‌جمهور اصلح

▫️باید مومن باشد
▫️انقلابی باشد
▫️شجاع باشد
▫️مدبر باشد
▫️کارآمد باشد
▫️دارای روحیه جهادی باشد
▫️ب…"
1034,"RT @Hajpichkak: سید محرومان آمد...
مشکلاتمون فقط به دست خودت حل خواهد شد

#رئيسی_متشکریم"
1035,"RT @mimre_pe: از بیت المال ارتزاق کرد، قدم از قدم برای مردم برنداشت، حالا میگه با اتکا به همتِ مردم برای مبارزه با فساد آمده
شما در خوشبینا…"
1036,"@aboNietzsche ان شاالله نمیزاریم✌️
https://t.co/Br0G5YCbEi"
1037,"RT @negin_xoxo_6104: امان ازین روزگار
ای قلب بیگناه من..💕💋🌸🍒
@B_hundred_Hyun @weareoneEXO @layzhang https://t.co/70Ez45bgFN"
1038,@b_zanjanii دستشون نمیرسه عکس لیس میزنن. بچه و بزرگ تو کف.
1039,"فقط کسایی که یوتوب کار کردن میدونن رسیدن به این عدد چقدر عذاب اور و لذت بخشه
#یوتوب https://t.co/vqDhrOPZJS"
1040,@Elnaazmohammadi باید شجاعت ناامید شدن داشت و مثل شخصیت‌های کافکایی، راه‌های گریز رو جستجو کرد.
1041,"RT @FarSarih: اگر قرار باشد از بین سه نامزد انقلابی،فقط یکی را انتخاب کنید،به کدامیک رای می دهید؟
لطفا همه #ریتوییت کنید تا نظرات دقیق تر ب…"
1042,@tatackerman بدو بیا بغل عمو
1043,RT @haj_komeil: جهانگیری گفته «من با مشکلات کشور آشنا هستم» و قصد دارم تمام مردم با گوشت و خون با این مشکلات آشنا بشن:))
1044,@kamelia6990 نمیدونم هدفم از نگه داریش چیه:))
1045,@norekhaki @maryamkamali این که فحش‌ه ://
1046,"کابوس و خار چشم اصلاح طلبان و مفسدان
خوش آمدی......
#رئیسی_متشکریم https://t.co/beIAFH1d6l"
1047,@AlMosahf @DrSaeedJalili جیگرمونو خون کرد تا بیاد😑
1048,@muniba_mazari الله پاک ان پر رحم فرما ان کی حفاظت فرما آمین
1049,RT @saabedi70: @yazahra3584 سید محرومان آمد
1050,"@AlefFateme2 دقیقا داخل بیانیش به این موضوع اشاره کرده👇

""تجربه طولانی اینجانب در سطوح مختلف مدیریتی، به روشنی بر م… https://t.co/nB9nB3XzzM"
1051,"@nothing_else86 @soorennn 😂😂
چرا میگفتی اونم ثبت نام کنه ک ناقص نمونه"
1052,"RT @Nargesexol4ever: نمیدونم انقددررررر کار سختیه از چیزی ک خوشتون نمیاد رد شین؟؟
حتما باید برینین به اعصاب بقیه؟
اقا خوشت نیومده بلاک کن ر…"
1053,@Mamadanof @paneezpie چرا منو مجاب کردی اینو ببینم😂😂😂😂
1054,یک سال ونیمه که همدیگه رودرآغوش نگرفیم و نبوسیدیم. حتی دست ندادیم بهم. بعداین زن بیشعور می‌گذاره یکی بچه‌اش روببوسه… https://t.co/pftPUGd6pQ
1055,@AshkanYnwa مریم بانو؟
1056,@tousheh مشخصا هر اثری منتشر می‌شه یعنی خودش رو در معرض قضاوت قرار داده، دیگه اینکه بدیهیه، توهین کردن هم متاسفانه… https://t.co/iRJ4569OpE
1057,@wezhkurda کونکان
1058,RT @reihangh: جونگده با تمام وجود عاشقه خوندنه. حسی که موقع خوندن منتقل میکنه بی نظیره. منتظرم تا برگردی و دوباده قلب همه رو ذوب کنی با صدا…
1059,@excoino https://t.co/GZFq77D7Pf برای سیگنال ارزهای دیجیتال کانال تلگرام
1060,@_mamzaa_ ای بابا 😁
1061,"RT @park_rasha: ولی جونگده حتی هشتگاشم ارامش داره و حس نسیم ملایم صبح و ک لای موهات می وزه میده
CHEN BEAUTIFUL GOODBYE 280M

#EXO #엑소 @wear…"
1062,فرید مدرسی گفته #لاریجانی از فساد برادرش می خواهد #طبری بجوید🤣😂
1063,@heshmatid @ali__politics برجام بهم نخورد مگه بهم خورد؟
1064,"@HManouchehry خوش خبر باشید...
دکتر جلیلی خوش اومدین✌️"
1065,"RT @koohyar1964: #عزالدین_قسام ثابت کرد ک مقاومت هرگز نمیمیرد بعد از سالها امروز قویتر و محکمتر تو دهن اسقاطیل میزنه 
#روز_نکیت"
1066,"RT @FarSarih: اگر قرار باشد از بین سه نامزد انقلابی،فقط یکی را انتخاب کنید،به کدامیک رای می دهید؟
لطفا همه #ریتوییت کنید تا نظرات دقیق تر ب…"
1067,@jeon_97_04 @bts_Kooki10 @BTS_twt چطوری میتونم تو توییتر یه پستو  استوری کنم🙄😅
1068,@sara_srr2 نمیشه واقعا سر بحث رو باز کرد 😏😂
1069,@iam_seji ساری
1070,@davandeh60 چرا قیمه ها را میریزی تا ماستا
1071,"@sogolitaa @MVinca برو خداروشکر کن باهاش کات کردی:)
منم دقیقا وقتی ی روز نبود از نگرانی میمردم
بعد حالا اون هشت روز… https://t.co/NxJScyGGky"
1072,"RT @jafaritwt: خبر آمد خبری در راه است ....

#جلیلی"
1073,"RT @Mahdi7989: #فوری 
صلی علی محمد کاندید اصلح آمد
#سعید_جلیلی https://t.co/UWg21qGyje"
1074,"RT @aghigh_163: به یاری خدا از گندم پاستور نخواهید خورد....
#رئیسی_متشکریم https://t.co/9ZghushSJD"
1075,@abahmani56 @raesi_org در به درِ قدرت
1076,RT @samanehabibiii: ینی اسحاق چی بلد بود که به من یاد نیاد؟ https://t.co/slgCfKmLZ8
1077,RT @MrCyberAvenger: اندیشه پویای یک دلقک! https://t.co/gtZsJI9JQ4
1078,@imshki @raesi_org صرفا شوخی بود ببخشید😂🖐️
1079,"RT @fatan_byt: دوست دارم خوشگله 🌸💘

#CHANYEOL #찬열 #박찬열 #엑소찬열 @weareoneEXO https://t.co/j4EcN0PCIx"
1080,"@IsraelPersian عخخیییی... اسرائیل کلا موشکاش هوشمنده،زن و بچه میبینه راه کج میکنه😂

#فسفر_سفید"
1081,"RT @sadegh_shahbazi: نصر من الله و فتح قریب
#حیات_طیبه"
1082,@exhaustedgolsa @Kamyar1375 @HedayatBahare حداقل برای همه رای اولی ها اینطور نیست.
1083,@amir_asiyam میدونم ولی وقتی ویسی ک ازش پخش شد شنیدم گفتم کیرم دهنش اصن ، خیلی دو رو و لاشیه
1084,"@sawagsuga کنسرت اهنگ oxygen 
بزنی تو یوتیوب میاره همون اول
ن اگاسه نیسم ولی نزدیکه بشممم https://t.co/DzcDK4blqI"
1085,"@panirmosalasi ژاپن فوق العادس
فقط تو یک کلمه میشه گفت لنت ب این‌ زندگی"
1086,@mortezakarami99 زینب پاشا کیه؟
1087,@goharshad65 اومد
1088,@alipoor94725497 @raesi_org مناظره هم خوبه، اما ای کاش سایتی بود که این تحقیقات رو مستند ارائه میداد، پیشنهاد منی ک… https://t.co/TOR1Pe75jv
1089,"اشک تمساح برای تصدی پستی که همیشه گفته شده هیچکارس !!!!!!!!!!! 
#لاریجانی_روحانی_است"
1090,"RT @Freshte_afshar: برای احترام به دادخواهی این ملتی که از نابرابری‌ها و چپاولهای ثروت ملی شون دست نیاز به سوی شما دراز کردند 
و شما دست یا…"
1091,"RT @nimabega: آقای آل کثیر آروم تر
دردمون اومد https://t.co/xYgeDuECwW"
1092,@nobodysson00 چرا :/
1093,@saeedmaaleki او اطلاعاتی است.
1094,"RT @malekshariati: عزیزان! #مجلس_لاریجانی حامی دولت روحانی بود
و دولت لاریجانی، قطعا #دولت_سوم_روحانی است."
1095,RT @baek_aida_Hyuni: ولی واقعا اینکه ادما ترسناک ترین موجوداتن یه حقیقه....به متنی که نوشتین نگاه کنیدبهش فک کنید چنددور بخونیدش با خودتون…
1096,"@ItsMeVidaa متاسفانه نونای فرنگی ان، ولی در کنارش نون تیری هم ادامه کیدم
قول میدم :("
1097,RT @entKaXh5FGaG3tk: #رئیسی_متشکریم که به صدای این ملت توجه کردید و پا به عرصه میدان گذاشتید
1098,"RT @Zir_O_Rou: اگر درخیابان با چند نفر هم کلام شده باشید مطمئنا متوجه شدید که اکثریت مردم در انتخابات شرکت نخواهند کرد
پس به جو سازی‌ها توج…"
1099,RT @iamhonia: خود من رو یک‌بار چون آرایش نداشتم گرفتن بردن ازم تعهد گرفتن بعدم مجبورم کردن زنگ بزنم به خانواده‌م برام لوازم آرایش بیارن. ht…
1100,"@tnnzv یا خداااا

مگه چنتا دوست پسر داری !!!!"
1101,"RT @M_namvar_1989: حجت الاسلام رئیسی:بانیان و شرکای وضع موجود نمی توانند تغییر دهنده اوضاع باشند
هرکس خانه خود را یک ستاد انتخاباتی کند
نه…"
1102,"RT @gomshde: منم هل میدید ۲ کا شم؟🥺
توئیت بدین ریت بزنم اینم ریت بزنین🥲💋"
1103,@mo2mhmn مهم نیست خیلی
1104,لوبیا پلو با سالاد شیرازی و کوکاکولا 10/10❤️
1105,"RT @fatemezahra1990: ;ــــ;ــــ;
مشارکت حداکثری مردم در انتخابات نظام را واکسینه می‌کند

#رئیسی_متشکریم"
1106,"@mammaddii پس دیگ نمیایی...
مراقب خودت باش"
1107,"RT @parisa_ahmadii: @maedehahmadi69 برداشت ما این است که فرزندان این سرزمین استعداد لازم را برای کسب موفقیت‌ها دارند.

#آقامحسن_ایران 
#اقد…"
1108,@pdrmsh خدایا اینارو از رو زمینت بردار:)
1109,@naaryees @HosseinEB3 چقدر حیوونه کولبرا اگه کولبر شدن واسه اینه که نه شرف فروختن نه ناموس و دستشون به زانوی خودشون… https://t.co/mavY5OBokX
1110,@littlenieztsche کس نگو من ی خییبیییلیییییی برون گرام اما کون ریت رو هم پاره کردم////=
1111,"RT @dehghan_80: نَصرُ مِن الله و فَتحُ القَریب ..‌
#رئیسی_متشکریم https://t.co/dk6j40xLZE"
1112,شبکه 13 تلویزیون رژیم صهیونیستی اعلام کرد که حال یک صهیونیست که در حمله موشکی اخیر به تل آویو زخمی شده، وخیم است… https://t.co/xLOan38LNf
1113,"@MehrabRz @DybaKing @azarijahromi من از بیشعوری حمایت نکردم،بیشعور تشریح کردم.🤣🤣
تو چرا به خودت گرفتی مگر بیشعوری یا از آنان حمایت کردی؟😎😎😅😅"
1114,"RT @soniyanistam: ماشینی که دزدیده شده 

جریمه برامون اومده 
میشه پیگیری کرد؟؟ 
محدوده رو سرحد آباد نشون داده"
1115,@Tala_L1485EXO @HedyehExoL @weareoneEXO میشه بمنم بگین ایشون چی گفتن که یکم ادبم رو بذارم رو طاقچه و خودمو خالی کنم… https://t.co/iWMbAzcaXR
1116,"RT @GhoreishiG: مقاومت اسلامی در غزه از معادله جدیدی پرده برداری کرده:
هر ساختمان در عزه تخریب شود یک ساختمان در اسرائیل تخریب می‌کنیم ."
1117,@happybookseller @DrCrentist97 وای همه ش کثافته. افسردگی و وحشی بودن قبلش و دلدررررد روزای اولش و‌ سردرد و‌حالت تهوع روزای اخرش. اه
1118,خدایی دموکراسی خیلی سرگرم کننده است :)
1119,@sabeti_twt ظاهرا خاتمی هم داره میاد تو میدون
1120,RT @navidnamayandeh: برای چند ده کودک بی‌سرپرست در حال تهیه این کالاها هستیم، اگر دوست دارید کمک کنید تشریف بیارید دایرکت. https://t.co/Oqe…
1121,RT @WinningWarrior9: هرکی دوست پسر یا دوست دختر میخاد منش بده ب هم برسونمتون😂😂🤦🏻‍♂️🚶‍♂️
1122,کاندیدای مردمی آمد.... https://t.co/XSuVERcZaD
1123,"RT @neda_andmeshkii: این گام،گام‌ ساختن #دولت_ضدفساد است.
#رئیسی_متشکریم https://t.co/mLRKxGAtyq"
1124,"کابوس افسادطلب‌ها...
#دولت_ضدفساد 
#برای_مردم https://t.co/AJyoeUI9hT"
1125,"RT @ifzliweri: چرا حس میکنم این کامبک مثل آخرین کامبک گاتسون تو چی وای پی هست؟
واسه همینم اسپیشال البومه😐
#EXO #엑소 @weareoneEXO
@B_hundred_…"
1126,"RT @HadiRad10: . 
اینکه رئیس قوه‌قضائیه برای مبارزه با فساد و برپایی عدالت میخواهد رئیس قوه مجریه بشه هم در نوع خودش پدیده جالبیه که فقط ای…"
1127,RT @exo_land_ir: بنظرتون کت‌من کیس پر ملچ ملوچ و ابدار داره؟ میدونم کارم بیشعوریه محظه ولی واقعا دلم میخواد ببینم سهون چجوری یارو ‌رو میبوس…
1128,RT @shivataghinejad: آقای مجری ببینم جرات داری که برگه های مصاحبه با رییسی رو هم آخر کار پاره کنی؟؟/#سلام_بر_محمد_درود_بر_رئیسی
1129,RT @abiaraam: این ، کمی بیشتر از دل به کسی بستن بود.
1130,@shaparyton ارە دیدی 😌
1131,@Panpan92907908 از کودکی میگفتن ما هم شنیدیم
1132,@ahmadafshari__ عه این که تاحالا ثبتنام نکرده
1133,RT @DariushSh11: بیش از پیش باد
1134,"@SoheilaHamidi بهترینا نصیبت عزیزم
خدا یاورت"
1135,"RT @HengawO: ایجاد رعب و حمله به شهروندان توسط گروه‌های بنیادگرای اسلامی در سقز

سلفی‌ها با چاقو و قمه به شهروندان حمله کرده‌اند

هاوری ملک…"
1136,@GeorgeOhwell2 بله چون در نهایت ب اصل نظام شون اعتقاد دارن
1137,"RT @mobi_with_luv: یکی از آهنگای موردعلاقه جین آهنگ the 1 از تیلور سوئیفته
یه بخش از لیریک آهنگش میگه: ""تا وقتی زخمی نشی، هیچوقت بالغ نمیشی…"
1138,فک کن توی یه گفتگو طولانی و صدالبته فارسی یهو فقط از to much استفاده کنه خوب الان فقط نمیتونستی از کلمه *زیادی* استفاده کنی؟؟:)))))
1139,@Chocomaedeh1 میشه یه چی بپرسم ؟ توی قسمت فلیت یا همون استوری توییتر چجوری استوری بقیه رو ریپلای کنم هر چقدر میگردم نیس میشه بگین 🥺💗
1140,"ترافیک منتهی به وزارت کشور اونقدر با اومدن کاندیداها زیاد شده که فقط مونده منتظر باباپنجعلی باشیم! 
#منم_میام… https://t.co/4qM83lFhPq"
1141,"RT @avatoday_news: ۳/۳
مردم ایران با یک استراتژی واحد و آنهم شرکت نکردن در انتخابات اعتبار و مشروعیت این مهره خامنه‌ای و کل جمهوری اسلامی ر…"
1142,@MiladNikmaram بله بله بله دیدممم😁
1143,@La_nauseee متجاوزين كودكيشون پدر و مادرشون ميشدن؟
1144,"تنها دلیل رفع فیلتر تلگرام تبلیغات انتخاباتی رژیم از این نرم افزار است 

#نه_به_جمهوری_اسلامی"
1145,"RT @1directionIran: خب خیلیا به ۵۰ تا رسیدن و بقیه هم دارن میرن بالا.
نبینم رای ندین هاااااا، البته می‌دونم خودتون چقدر وفادار هستین و تلاش…"
1146,@Stock_teh این اوراق تامین مالی هنوز هست که :/
1147,یک‌بار یکی تو ناشناسم نگفت چرا انقدر خشنی، مرد.
1148,"RT @elia12420: جهانگیری موقع ثبت نام:من با مشکلات کشور آشنام
ولی ۸ سال معاون اول بودم و هیچ کاری برای حلشون نکردم!"
1149,@siamaknemati8 شیافک کص مامانت با اون دستات هم سایز ممه ها مادرتو نشون دادی
1150,@mehdi9525 به قلک پول شون توهین شده😂😂
1151,@hajjsnoopam بۊچکدە
1152,"RT @ItAmin_sh: طلاق بگیرید؛
فرار کنید؛
مهاجرت کنید؛
استعفا بدید؛
ضربه متقابل بزنید؛
بجنگید؛
حتی خودتون و بقبه رو نابود کنید؛
ولی تحمل نکنید…"
1153,"RT @Samsam98229548: بهاری دیگر در انقلاب در راه است 
#رئیسی_متشکریم"
1154,"RT @sabeti_twt: ترکیب نهایی ثبت نام کنندگان  تا دقایقی دیگر بازهم تغییر خواهد کرد.
به نظر می رسد با غیر قابل پیش بینی ترین انتخابات ریاست ج…"
1155,"RT @Tootfarrangi80: اخبار شبانگاهی شبکه 3دیشب سه فرزندیک زندانی ایرانی رانشان میداد
کودکان میگفتندبرای کمک به مادرشان زباله گردی وکارتن جمع…"
1156,"RT @ayyaaaar: بخوانیم فاتحه جهانگیری و لاریجانی را
صلّ علی محمد یار رئیسی آمد...
#جلیلی"
1157,@Leily82H خوش اومد
