,text
95,@samidaryan والا یه جوری فرق میذارن انگار نمیدونیم جفتشون چه گهین.
96,@ronronnant تا حلوای همه‌تون رو نخورم جایی نمی‌رم خخخخخخخخخخ
97,@mariaka__ ديوونه شدن
98,@Godofpersiian عمر زیاد نمی خوام پول بفرست 😂😂
99,@GShodeh بعضی چیزا برا مگس مزه عسل داره :))
100,سرهای متفاوت یک اژدها رفتن وزارت کشور کاندید بشن
101,"RT @smlzade72: ماازنسل شهدای انقلاب اسلامی هستیم وهمیشه راهشان راادامه خواهیم داد

#رئیسی_متشکریم
❤️🇮🇷❤️"
102,"RT @hln_hyun_04: چقد کوبص میگین
@weareoneEXO"
103,RT @Naeempix: بورس گزیده از کریپتو میترسه.
104,"RT @xshivao9: اگه یک بار دیگه ببینم واسه توجیه هر کصشری پای چانیول و اون شایعه مسخره رو کشیدید وسط دیگه ساده نمیگذرم!

@weareoneEXO @layzha…"
105,@lonsdaleite_man من محافظ قدسم درپناه قدس😆😂
106,"@omid_dana چرا به خودت فشار میاری 

امروز از رئیسی بهتر میدونی فردا از رهبر. 
فرق تو با اغتشاشگران ۸۸ چیه؟
دائم درح… https://t.co/sGWZZTY4SW"
107,"RT @marikaia88: اسپا و اس ام و هر عنی به چپم وقتی همچین عکسی هست 

@weareoneEXO https://t.co/I6pnBtgY2O"
108,"@Atefee2 @weareoneEXO @layzhang @B_hundred_Hyun گوارش ☹️
و کمی تا اندکی تب و لرز 

@weareoneEXO @layzhang… https://t.co/OkurNQ3fPX"
109,@Javadnistam یویو بس😃😃😃😃
110,"یک مثال سطحی برای مردم خاکستری :
#رئیسی اعدام میکند.
و این مثال کافیست که مهره اصلی #سعید_محمد سوخته شود.
مردم خیلی… https://t.co/qIQ57ncxuu"
111,RT @musavi_mansour: وضعیت تایم لاین: https://t.co/o493OpXQub
112,@Meysaam6 @MohamadOlia خوندم. حرفهاتون مستند و مستدل نیست دوست عزیز. حتی اگه اتحادیه اروپا خرید از استروزنیکا رو اد… https://t.co/dgbUOpESdP
113,"RT @hami__90: ان شاءالله پیش به سوی دولتِ جوانِ مؤمن و حزب اللهی🇮🇷

#رئیسی_متشکریم https://t.co/CB8VIc6lfU"
114,"RT @UncleFriedrich: 100 روز پس از نبود ترامپ ؛ بحران در اقتصاد و انرژی در آمریکا
و آشوب در خاورمیانه. 
تنها دو نفر در این 45 سال بودن که وج…"
115,@baharin1983 متاسفانه درست میگی.
116,@mtavakoli67 وقتی جریانی سیاسی از چندین گروه متفاوت با کف و سقف خواسته‌های متفاوت تشکیل شده طبیعتا با چندین کاندیدا وارد انتخابات می‌شود.
117,@alihojati0 اينهادردانشگاه سورس كه زير نظر يهوديان است دوره ديده اند!خاتمى وروحانى ولاريجانى ها و …وقتى تحقيق ميكني… https://t.co/RC2Uup5wgI
118,"RT @abdollahram: دوستان حقوقدان و حقوق خوانده لطفا پاسخ دهند:
در صورتی که شخصی از ستادهای آقای رئیسی شکایت کیفری داشته باشد باید به کدام مر…"
119,@Dr__msv تو همه جاش هستی    :))))))))))
120,"جنگهای اسراییل و غزه ارتباط تنگاتنگی با دکترین خاورمیانه ای دولت امریکا دارد:
جنگ 2008 محصول «خاورمیانه جدید» کاندو… https://t.co/84GStmB5r8"
121,"RT @Ashenakalam1: انتخابات حقییقت عظیمی است که حضور مردم را در صحنه نشان می دهد.

#رئیسی_متشکریم"
